countryCode,SupplierID,PaperlessDate,invoiceNumber,InvoiceDate,DueDate,InvoiceAmount (in thousands USD),Disputed,SettledDate,PaperlessBill,DaysToSettle,DaysLate
391,HCSFI-6160,01-10-2013,104628366,1-13-2012,02-12-2012,109.08,Yes,02-04-2012,Electronic,22,0
391,NDGAE-1080,9-28-2012,106361076,2-19-2012,3-20-2012,140.22,No,3-26-2012,Electronic,36,6
897,UKEUZ-6296,11-26-2012,106486246,9-21-2013,10-21-2013,41.895,Yes,9-25-2013,Paper,4,0
770,FIODB-6831,05-08-2013,110122884,10-23-2012,11-22-2012,29.322,Yes,11-30-2012,Electronic,38,8
897,UKEUZ-6296,11-26-2012,120364474,4-23-2013,5-23-2013,31.167,Yes,4-24-2013,Paper,1,0
818,SYKLB-5148,8-28-2013,121797193,9-28-2012,10-28-2012,133.725,Yes,10-30-2012,Electronic,32,2
391,NEVHP-379,04-06-2013,122662407,08-05-2013,09-04-2013,39.276,Yes,8-21-2013,Paper,16,0
770,WKLVM-7758,02-06-2012,123645122,12-22-2012,1-21-2013,39.924,Yes,1-24-2013,Paper,33,3
770,QUNVJ-3993,12-31-2012,131216892,02-01-2013,03-03-2013,84.975,Yes,02-05-2013,Paper,4,0
391,IYKOC-9174,11-27-2012,135429377,08-02-2012,09-01-2012,87.3,Yes,8-24-2012,Electronic,22,0
391,DZINU-2676,10-19-2012,145315343,8-19-2013,9-18-2013,124.575,Yes,09-06-2013,Paper,18,0
391,WENVB-9014,08-03-2013,152050736,2-13-2013,3-15-2013,90.045,Yes,03-11-2013,Electronic,26,0
406,ETVHD-6833,4-30-2012,152808658,09-11-2012,10-11-2012,88.515,Yes,9-29-2012,Paper,18,0
406,YZKCL-1447,08-10-2012,173814774,4-27-2013,5-27-2013,100.275,Yes,5-27-2013,Paper,30,0
818,UWVLM-8364,11-10-2012,176356253,8-20-2012,9-19-2012,118.245,No,10-03-2012,Electronic,44,14
770,NDIOV-9323,07-09-2012,176953741,09-10-2013,10-10-2013,97.5,Yes,10-17-2013,Paper,37,7
391,DPXLN-5920,11-11-2012,176959309,8-30-2012,9-29-2012,85.77,Yes,9-19-2012,Electronic,20,0
391,DPYTF-6708,08-02-2012,180192685,08-02-2012,09-01-2012,111.975,Yes,9-18-2012,Electronic,47,17
391,WENVB-9014,08-03-2013,186123486,06-09-2012,07-09-2012,89.775,Yes,07-08-2012,Electronic,29,0
406,QZOKX-4632,3-19-2013,186768785,06-10-2012,07-10-2012,36.486,No,07-11-2012,Electronic,31,1
391,HJDLA-2125,5-22-2012,189883016,09-03-2012,10-03-2012,77.16,Yes,10-17-2012,Paper,44,14
770,UQXSS-5592,12-31-2012,190687124,7-15-2013,8-14-2013,25.587,Yes,08-02-2013,Paper,18,0
406,EZTEJ-9725,3-17-2012,195093896,11-02-2013,12-02-2013,118.095,No,12-04-2013,Paper,32,2
897,VTITE-6177,10-26-2012,195359213,8-29-2012,9-28-2012,84.39,No,9-21-2012,Electronic,23,0
391,TBPGK-5529,08-09-2013,202519802,02-10-2013,03-12-2013,115.89,Yes,3-13-2013,Electronic,31,1
406,FGEJI-4640,04-04-2013,203036153,9-23-2012,10-23-2012,96.9,Yes,10-15-2012,Electronic,22,0
406,DJOZO-5284,09-11-2012,204757384,1-13-2012,02-12-2012,81.66,Yes,1-27-2012,Electronic,14,0
897,XNJRO-688,6-24-2012,206372377,8-14-2013,9-13-2013,44.136,Yes,9-28-2013,Paper,45,15
406,TCXFQ-8389,8-24-2012,208940519,12-01-2013,12-31-2013,105.675,No,01-04-2014,Paper,34,4
391,BLYDZ-8820,3-19-2013,213324292,10-13-2012,11-12-2012,99.18,Yes,10-22-2012,Electronic,9,0
391,IYKOC-9174,11-27-2012,217272442,9-22-2013,10-22-2013,44.892,No,10-23-2013,Paper,31,1
391,VJWXS-3569,04-09-2013,218034985,02-01-2013,03-03-2013,34.776,Yes,03-05-2013,Electronic,32,2
770,KQLDO-7050,9-29-2012,222477663,03-08-2012,04-07-2012,98.55,No,04-09-2012,Electronic,32,2
818,UOPGH-5924,06-06-2013,232048721,3-14-2012,4-13-2012,101.4,Yes,04-11-2012,Electronic,28,0
391,IYKOC-9174,11-27-2012,237437627,12-09-2012,01-08-2013,32.121,No,1-15-2013,Paper,37,7
391,NDGAE-1080,9-28-2012,246081423,09-06-2012,10-06-2012,138.795,No,10-13-2012,Electronic,37,7
897,VLKMI-9286,2-13-2013,254550640,12-28-2012,1-27-2013,92.385,Yes,01-08-2013,Electronic,11,0
406,FGEJI-4640,04-04-2013,261246576,10-20-2013,11-19-2013,141.705,Yes,11-05-2013,Paper,16,0
391,IYKOC-9174,11-27-2012,263678756,09-10-2012,10-10-2012,34.2,Yes,10-11-2012,Electronic,31,1
391,PCYBM-8156,03-03-2012,270702495,10-31-2012,11-30-2012,75.36,Yes,11-25-2012,Paper,25,0
818,UOPGH-5924,06-06-2013,273425734,02-07-2012,03-08-2012,170.64,No,3-19-2012,Electronic,41,11
406,ZAVRG-4092,5-19-2012,274057819,05-07-2012,06-06-2012,76.44,Yes,5-13-2012,Electronic,6,0
770,IJYBQ-9928,3-18-2012,277331143,11-02-2012,12-02-2012,109.875,Yes,11-26-2012,Paper,24,0
770,QUNVJ-3993,12-31-2012,280671064,01-03-2012,02-02-2012,75.585,Yes,1-23-2012,Electronic,20,0
391,NEVHP-379,04-06-2013,281287677,10-28-2012,11-27-2012,115.215,Yes,11-19-2012,Electronic,22,0
897,VTITE-6177,10-26-2012,282342267,02-06-2012,03-07-2012,94.92,Yes,2-20-2012,Electronic,14,0
406,QPZCF-6048,7-13-2012,284482510,2-14-2013,3-16-2013,131.85,No,3-17-2013,Paper,31,1
897,OQZUE-1408,9-14-2012,285510353,04-05-2012,05-05-2012,24.345,Yes,5-28-2012,Electronic,53,23
897,EEBEO-8690,12-05-2012,286008169,2-26-2013,3-28-2013,80.175,Yes,3-31-2013,Paper,33,3
406,TCXFQ-8389,8-24-2012,287254597,1-22-2012,2-21-2012,108.735,Yes,2-21-2012,Electronic,30,0
406,ZAVRG-4092,5-19-2012,291694455,2-27-2013,3-29-2013,104.475,No,03-11-2013,Paper,12,0
406,OISKG-7600,7-19-2013,296503371,07-03-2012,08-02-2012,91.875,No,08-07-2012,Electronic,35,5
770,WKLVM-7758,02-06-2012,298536155,03-12-2013,04-11-2013,106.275,No,05-06-2013,Paper,55,25
897,VTITE-6177,10-26-2012,299012101,11-29-2013,12-29-2013,37.773,Yes,12-13-2013,Paper,14,0
770,ODQFO-7856,08-05-2012,300108830,11-30-2013,12-30-2013,44.739,No,01-06-2014,Paper,37,7
391,TWQXF-5196,6-20-2012,302496732,07-04-2012,08-03-2012,108.975,Yes,7-26-2012,Paper,22,0
406,QPZCF-6048,7-13-2012,308536511,11-25-2012,12-25-2012,110.595,Yes,12-01-2012,Paper,6,0
406,OWJOT-3448,9-15-2012,312361624,07-05-2012,08-04-2012,99.195,No,8-13-2012,Electronic,39,9
406,DJOZO-5284,09-11-2012,320318117,3-23-2013,4-22-2013,121.065,Yes,3-24-2013,Paper,1,0
406,DJOZO-5284,09-11-2012,321937382,5-25-2013,6-24-2013,109.275,No,06-08-2013,Paper,14,0
818,JJMFW-3568,01-09-2012,326671510,12-27-2012,1-26-2013,132.75,No,1-18-2013,Paper,22,0
391,HROAQ-7841,9-15-2013,329307503,08-02-2012,09-01-2012,102.795,No,09-09-2012,Electronic,38,8
818,UHVMG-5613,5-31-2012,333420279,11-10-2013,12-10-2013,90.9,No,12-12-2013,Paper,32,2
818,HYHDN-3271,4-28-2013,354407789,04-12-2013,05-12-2013,41.004,Yes,4-17-2013,Electronic,5,0
770,JCFGW-2447,7-31-2012,355096096,12-12-2012,01-11-2013,28.242,Yes,01-05-2013,Paper,24,0
391,DNURW-3598,8-29-2012,360452375,1-30-2012,2-29-2012,84.555,Yes,2-20-2012,Electronic,21,0
818,HYHDN-3271,4-28-2013,367399104,08-10-2013,09-09-2013,88.17,Yes,08-10-2013,Paper,0,0
406,ZAVRG-4092,5-19-2012,368163480,8-23-2013,9-22-2013,94.02,No,09-11-2013,Paper,19,0
770,KQLDO-7050,9-29-2012,371943134,10-24-2013,11-23-2013,115.035,Yes,11-15-2013,Paper,22,0
391,TWQXF-5196,6-20-2012,374328378,07-08-2013,08-07-2013,90,Yes,08-02-2013,Paper,25,0
770,ODQFO-7856,08-05-2012,374625353,04-03-2013,05-03-2013,34.038,Yes,4-25-2013,Paper,22,0
897,VHLWY-9250,06-03-2013,374628341,05-09-2013,06-08-2013,26.937,Yes,5-28-2013,Electronic,19,0
391,HJDLA-2125,5-22-2012,380292773,03-02-2013,04-01-2013,24.147,Yes,04-10-2013,Paper,39,9
897,ERSWK-8942,01-11-2013,381841565,11-12-2013,12-12-2013,29.655,Yes,11-15-2013,Paper,3,0
391,XGXSB-2820,1-26-2012,385813389,05-07-2012,06-06-2012,110.85,Yes,05-08-2012,Paper,1,0
770,FDQRK-6077,09-11-2012,387380806,8-20-2012,9-19-2012,94.425,Yes,9-15-2012,Electronic,26,0
818,JJMFW-3568,01-09-2012,391669661,08-08-2012,09-07-2012,107.97,No,09-04-2012,Paper,27,0
406,CKNCN-7245,06-04-2012,401983883,8-17-2013,9-16-2013,77.4,Yes,09-04-2013,Paper,18,0
897,ERSWK-8942,01-11-2013,420999764,4-21-2013,5-21-2013,30.708,No,05-10-2013,Paper,19,0
391,DNURW-3598,8-29-2012,423629316,08-09-2012,09-08-2012,86.01,Yes,09-03-2012,Electronic,25,0
406,DJOZO-5284,09-11-2012,428154562,05-03-2012,06-02-2012,35.559,Yes,5-21-2012,Electronic,18,0
391,DPYTF-6708,08-02-2012,428958018,2-13-2012,3-14-2012,130.11,Yes,3-30-2012,Electronic,46,16
406,PMEXQ-4651,07-04-2012,449356709,01-04-2013,02-03-2013,116.19,Yes,1-24-2013,Paper,20,0
391,TBPGK-5529,08-09-2013,451448241,11-20-2012,12-20-2012,83.715,Yes,12-15-2012,Electronic,25,0
406,CKNCN-7245,06-04-2012,472551556,7-20-2013,8-19-2013,99.42,Yes,08-04-2013,Paper,15,0
391,NEVHP-379,04-06-2013,476918643,2-14-2013,3-16-2013,82.815,Yes,03-03-2013,Electronic,17,0
391,WENVB-9014,08-03-2013,479535052,4-13-2013,5-13-2013,98.745,Yes,06-02-2013,Electronic,50,20
770,ZXNDN-4460,6-27-2013,485064725,10-06-2012,11-05-2012,120.465,Yes,11-13-2012,Electronic,38,8
770,ODQFO-7856,08-05-2012,488925369,5-18-2013,6-17-2013,36.486,Yes,06-07-2013,Paper,20,0
770,NRGUP-706,04-09-2013,489697114,4-16-2012,5-16-2012,37.296,Yes,5-22-2012,Electronic,36,6
770,FIODB-6831,05-08-2013,490252853,05-08-2013,06-07-2013,32.661,Yes,6-14-2013,Electronic,37,7
770,XWAMA-2687,04-03-2013,493581035,6-17-2012,7-17-2012,90.33,No,7-24-2012,Electronic,37,7
391,BTDMX-9212,4-22-2012,496849629,06-02-2013,07-02-2013,89.565,Yes,6-16-2013,Paper,14,0
897,UKEUZ-6296,11-26-2012,497306012,11-07-2012,12-07-2012,82.11,No,11-29-2012,Electronic,22,0
406,QPZCF-6048,7-13-2012,498009754,8-24-2012,9-23-2012,114.51,No,9-19-2012,Paper,26,0
897,OQZUE-1408,9-14-2012,500975329,4-18-2013,5-18-2013,34.029,Yes,5-23-2013,Paper,35,5
897,VTITE-6177,10-26-2012,511851995,12-26-2012,1-25-2013,7.443,Yes,01-06-2013,Paper,11,0
391,PCYBM-8156,03-03-2012,512194701,3-28-2012,4-27-2012,96.6,Yes,4-28-2012,Paper,31,1
770,DTULQ-465,03-04-2013,514496876,9-14-2012,10-14-2012,29.574,Yes,10-17-2012,Electronic,33,3
770,LEPPM-7228,4-30-2012,519700453,03-09-2012,04-08-2012,28.953,Yes,4-18-2012,Electronic,40,10
897,SDWFS-9883,07-08-2013,523612994,4-17-2012,5-17-2012,25.893,Yes,5-24-2012,Electronic,37,7
391,CGYHU-6632,01-08-2013,524611580,10-05-2012,11-04-2012,86.79,Yes,10-23-2012,Electronic,18,0
406,KSOIA-5573,9-30-2013,524798828,10-19-2013,11-18-2013,86.67,Yes,11-16-2013,Paper,28,0
406,VMYWJ-5164,11-27-2013,528994022,2-22-2013,3-24-2013,135.33,Yes,3-14-2013,Electronic,20,0
391,HCSFI-6160,01-10-2013,533597425,8-20-2012,9-19-2012,98.235,Yes,09-12-2012,Electronic,23,0
391,TBPGK-5529,08-09-2013,535336023,07-10-2012,08-09-2012,86.82,Yes,8-21-2012,Electronic,42,12
391,DZINU-2676,10-19-2012,535641637,4-26-2012,5-26-2012,97.515,Yes,5-18-2012,Electronic,22,0
406,XCLEH-2621,9-24-2012,537837953,2-21-2012,3-22-2012,119.265,Yes,04-07-2012,Electronic,46,16
406,TCXFQ-8389,8-24-2012,540061540,1-30-2013,03-01-2013,128.25,Yes,2-13-2013,Paper,14,0
897,VTITE-6177,10-26-2012,540659574,02-05-2013,03-07-2013,35.397,No,03-06-2013,Paper,29,0
770,KQLDO-7050,9-29-2012,552733027,6-16-2013,7-16-2013,93.39,Yes,07-03-2013,Paper,17,0
406,EZTEJ-9725,3-17-2012,555108768,05-02-2012,06-01-2012,175.17,No,5-23-2012,Paper,21,0
770,ZXNDN-4460,6-27-2013,557941259,09-01-2013,10-01-2013,110.655,No,10-16-2013,Paper,45,15
818,NCUZC-8887,1-22-2013,561711695,4-16-2013,5-16-2013,33.642,No,5-21-2013,Paper,35,5
818,VZQCZ-5875,7-15-2013,565498021,10-30-2012,11-29-2012,91.2,Yes,11-24-2012,Electronic,25,0
770,ZXNDN-4460,6-27-2013,572625266,5-24-2013,6-23-2013,154.47,Yes,6-25-2013,Electronic,32,2
406,FGEJI-4640,04-04-2013,572998832,4-19-2012,5-19-2012,105.03,Yes,5-21-2012,Electronic,32,2
897,XNJRO-688,6-24-2012,578092082,12-13-2012,01-12-2013,32.481,Yes,1-30-2013,Paper,48,18
897,SDWFS-9883,07-08-2013,586870193,3-29-2012,4-28-2012,13.446,No,5-13-2012,Electronic,45,15
391,TBPGK-5529,08-09-2013,588467783,03-12-2013,04-11-2013,41.967,Yes,04-11-2013,Electronic,30,0
391,LZRJV-709,6-20-2013,598324495,07-07-2012,08-06-2012,9.828,Yes,8-16-2012,Electronic,40,10
818,NCUZC-8887,1-22-2013,601440361,5-30-2012,6-29-2012,38.484,No,07-09-2012,Electronic,40,10
391,XLGBV-9841,01-03-2013,601606557,10-25-2012,11-24-2012,76.455,Yes,11-16-2012,Electronic,22,0
391,BTDMX-9212,4-22-2012,604769904,2-21-2013,3-23-2013,110.385,Yes,03-01-2013,Paper,8,0
770,IJYBQ-9928,3-18-2012,606876964,03-09-2013,04-08-2013,41.949,Yes,4-16-2013,Paper,38,8
406,ZAVRG-4092,5-19-2012,607579094,9-28-2012,10-28-2012,90.21,Yes,10-04-2012,Paper,6,0
391,XGXSB-2820,1-26-2012,608187172,5-25-2013,6-24-2013,84.135,Yes,5-28-2013,Paper,3,0
391,LZRJV-709,6-20-2013,608905725,9-27-2012,10-27-2012,91.605,Yes,10-23-2012,Electronic,26,0
406,FGEJI-4640,04-04-2013,613092951,03-07-2013,04-06-2013,135.51,Yes,04-08-2013,Electronic,32,2
818,JJMFW-3568,01-09-2012,617172835,04-03-2013,05-03-2013,116.685,No,05-03-2013,Paper,30,0
818,ELFBK-6627,11-26-2012,620329506,2-15-2013,3-17-2013,114.75,No,04-01-2013,Paper,45,15
406,EVASK-7938,12-15-2012,624274512,8-14-2013,9-13-2013,39.681,Yes,9-24-2013,Paper,41,11
770,JCFGW-2447,7-31-2012,627614076,04-06-2012,05-06-2012,32.103,Yes,05-03-2012,Electronic,27,0
897,DOLHO-7654,04-04-2012,631345739,9-19-2013,10-19-2013,21.258,Yes,10-13-2013,Paper,24,0
770,MATVB-9149,4-30-2013,633253946,04-01-2013,05-01-2013,76.425,Yes,4-25-2013,Electronic,24,0
770,MATVB-9149,4-30-2013,640587292,12-24-2012,1-23-2013,96.27,Yes,1-18-2013,Electronic,25,0
406,PMEXQ-4651,07-04-2012,641122199,11-03-2012,12-03-2012,44.109,Yes,11-28-2012,Paper,25,0
391,NDGAE-1080,9-28-2012,641300264,09-12-2013,10-12-2013,141.855,No,10-14-2013,Paper,32,2
818,NCUZC-8887,1-22-2013,641436793,02-11-2013,3-13-2013,23.733,Yes,03-04-2013,Paper,21,0
391,HROAQ-7841,9-15-2013,642684213,6-20-2012,7-20-2012,95.04,Yes,07-08-2012,Electronic,18,0
391,HJDLA-2125,5-22-2012,645045160,10-26-2012,11-25-2012,38.862,Yes,11-24-2012,Paper,29,0
391,HCSFI-6160,01-10-2013,647569416,10-20-2013,11-19-2013,138.855,Yes,11-01-2013,Paper,12,0
818,NCUZC-8887,1-22-2013,649688982,11-03-2013,12-03-2013,78.21,Yes,11-28-2013,Paper,25,0
391,DPXLN-5920,11-11-2012,649772073,4-26-2013,5-26-2013,102.525,Yes,05-07-2013,Paper,11,0
818,UWVLM-8364,11-10-2012,658936467,5-17-2013,6-16-2013,104.73,Yes,06-03-2013,Paper,17,0
406,KSOIA-5573,9-30-2013,659596593,12-05-2012,01-04-2013,113.475,No,1-14-2013,Electronic,40,10
818,ABPKQ-8102,8-29-2013,666874251,8-18-2012,9-17-2012,86.07,No,9-29-2012,Electronic,42,12
391,HJDLA-2125,5-22-2012,672948609,11-09-2012,12-09-2012,86.055,Yes,12-05-2012,Paper,26,0
818,UOPGH-5924,06-06-2013,674518700,7-28-2012,8-27-2012,141.63,Yes,8-18-2012,Electronic,21,0
818,LIFKX-1604,3-16-2013,676551372,10-13-2012,11-12-2012,124.11,Yes,12-01-2012,Electronic,49,19
770,ZHAKS-7260,6-17-2012,678459027,8-21-2012,9-20-2012,101.61,Yes,09-07-2012,Paper,17,0
770,XLBER-2026,11-12-2012,679404939,10-07-2013,11-06-2013,44.757,Yes,10-17-2013,Paper,10,0
818,HEKGV-9181,10-16-2013,681101443,8-27-2012,9-26-2012,127.59,Yes,9-22-2012,Electronic,26,0
406,OISKG-7600,7-19-2013,681890012,7-24-2013,8-23-2013,43.353,No,8-22-2013,Paper,29,0
770,IJYBQ-9928,3-18-2012,684720169,04-03-2012,05-03-2012,99.375,No,5-15-2012,Paper,42,12
406,EZTEJ-9725,3-17-2012,685918029,10-13-2012,11-12-2012,186.57,No,11-10-2012,Paper,28,0
818,HEKGV-9181,10-16-2013,689403868,9-29-2013,10-29-2013,114.135,No,11-11-2013,Electronic,43,13
406,OISKG-7600,7-19-2013,700683619,02-11-2012,03-12-2012,98.505,No,03-12-2012,Electronic,30,0
391,BLYDZ-8820,3-19-2013,703104676,3-31-2013,4-30-2013,110.235,Yes,04-02-2013,Paper,2,0
406,DJOZO-5284,09-11-2012,704405254,4-28-2012,5-28-2012,101.01,Yes,5-15-2012,Electronic,17,0
406,YZKCL-1447,08-10-2012,705084840,05-02-2013,06-01-2013,84.585,Yes,5-28-2013,Paper,26,0
406,OISKG-7600,7-19-2013,706375499,05-12-2013,06-11-2013,82.485,No,6-15-2013,Electronic,34,4
897,YDPUJ-3271,04-02-2013,725765857,04-08-2012,05-08-2012,115.065,No,5-25-2012,Electronic,47,17
770,FIODB-6831,05-08-2013,726197893,04-11-2013,05-11-2013,37.746,No,5-22-2013,Electronic,41,11
818,ABPKQ-8102,8-29-2013,728378250,6-25-2013,7-25-2013,121.02,No,08-08-2013,Electronic,44,14
818,KITZM-6004,09-01-2013,733170299,12-09-2012,01-08-2013,107.565,Yes,12-29-2012,Electronic,20,0
897,OQZUE-1408,9-14-2012,739678467,07-04-2013,08-03-2013,38.124,Yes,08-06-2013,Paper,33,3
897,EEBEO-8690,12-05-2012,744801112,03-01-2013,3-31-2013,91.56,Yes,04-07-2013,Paper,37,7
391,BTDMX-9212,4-22-2012,744808890,12-13-2012,01-12-2013,80.865,Yes,12-28-2012,Paper,15,0
770,TNJFG-625,8-15-2013,748230771,05-11-2013,06-10-2013,79.515,Yes,06-05-2013,Electronic,25,0
770,FIODB-6831,05-08-2013,750411241,11-27-2012,12-27-2012,89.565,Yes,12-29-2012,Electronic,32,2
406,DJOZO-5284,09-11-2012,750477186,10-24-2012,11-23-2012,142.32,Yes,10-26-2012,Paper,2,0
770,UQXSS-5592,12-31-2012,755429227,10-06-2013,11-05-2013,38.808,No,11-10-2013,Paper,35,5
897,XNJRO-688,6-24-2012,760825944,08-10-2013,09-09-2013,36.522,Yes,9-18-2013,Paper,39,9
770,TNJFG-625,8-15-2013,761602726,09-07-2013,10-07-2013,96.24,No,10-18-2013,Paper,41,11
391,IYKOC-9174,11-27-2012,762698664,05-12-2012,06-11-2012,112.05,Yes,06-04-2012,Electronic,23,0
818,UHVMG-5613,5-31-2012,764361591,11-17-2012,12-17-2012,95.7,No,01-05-2013,Paper,49,19
406,KSOIA-5573,9-30-2013,769618070,1-17-2013,2-16-2013,129.405,No,2-28-2013,Electronic,42,12
818,UWVLM-8364,11-10-2012,773493782,9-15-2013,10-15-2013,98.04,No,10-21-2013,Paper,36,6
406,VMYWJ-5164,11-27-2013,775480058,09-01-2013,10-01-2013,98.85,Yes,10-03-2013,Electronic,32,2
406,OWJOT-3448,9-15-2012,781909861,7-30-2013,8-29-2013,100.065,No,09-09-2013,Paper,41,11
770,FDQRK-6077,09-11-2012,784468654,9-25-2013,10-25-2013,17.01,No,10-25-2013,Paper,30,0
406,FGEJI-4640,04-04-2013,806089705,09-12-2013,10-12-2013,114.27,No,10-05-2013,Paper,23,0
406,AIEIK-9758,4-23-2012,816501719,8-20-2012,9-19-2012,30.438,Yes,09-07-2012,Paper,18,0
391,BTDMX-9212,4-22-2012,818753601,1-15-2013,2-14-2013,43.362,Yes,02-04-2013,Paper,20,0
406,KSOIA-5573,9-30-2013,822444555,10-13-2012,11-12-2012,153.915,No,11-30-2012,Electronic,48,18
391,MDWKR-7209,10-09-2013,826558449,6-24-2013,7-24-2013,44.712,Yes,7-30-2013,Electronic,36,6
391,TWQXF-5196,6-20-2012,828223097,4-13-2012,5-13-2012,116.4,Yes,5-18-2012,Electronic,35,5
897,ERSWK-8942,01-11-2013,839049905,9-18-2013,10-18-2013,17.838,Yes,9-22-2013,Paper,4,0
391,DPYTF-6708,08-02-2012,839756489,11-25-2013,12-25-2013,114.27,Yes,12-31-2013,Paper,36,6
406,DJOZO-5284,09-11-2012,847327394,08-04-2012,09-03-2012,109.425,No,09-09-2012,Electronic,36,6
391,NDGAE-1080,9-28-2012,857713017,2-22-2013,3-24-2013,140.085,No,04-04-2013,Paper,41,11
406,PEPYR-783,11-27-2013,858258371,9-30-2013,10-30-2013,39.303,Yes,11-10-2013,Electronic,41,11
391,TWQXF-5196,6-20-2012,863594272,2-25-2012,3-26-2012,98.4,Yes,04-01-2012,Electronic,36,6
391,NEVHP-379,04-06-2013,869802921,09-01-2012,10-01-2012,104.325,Yes,9-23-2012,Electronic,22,0
406,QPZCF-6048,7-13-2012,870792156,3-19-2012,4-18-2012,110.88,Yes,3-24-2012,Electronic,5,0
818,VZQCZ-5875,7-15-2013,872319661,9-18-2013,10-18-2013,41.553,Yes,10-02-2013,Paper,14,0
391,DPXLN-5920,11-11-2012,873433417,05-05-2012,06-04-2012,123.3,Yes,5-24-2012,Electronic,19,0
897,SDWFS-9883,07-08-2013,874115142,05-08-2012,06-07-2012,37.125,No,6-20-2012,Electronic,43,13
770,MATVB-9149,4-30-2013,874395079,3-14-2013,4-13-2013,21.528,Yes,4-16-2013,Electronic,33,3
818,ELFBK-6627,11-26-2012,876573428,3-27-2013,4-26-2013,107.085,No,05-04-2013,Paper,38,8
391,TBPGK-5529,08-09-2013,881665112,12-25-2012,1-24-2013,34.173,No,02-11-2013,Electronic,48,18
